synthetic_id,filename,target_birads,generation_prompt
BUS_SINGLE_B2_001,BUS_SINGLE_B2_001.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single simple cyst in the right breast at approximately 5 o'clock, 5 cm from the nipple, located at superficial. The lesion should measure about 8 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer."
BUS_SINGLE_B2_001b,BUS_SINGLE_B2_001b.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single simple cyst in the left breast at approximately 5 o'clock, 5 cm from the nipple, located at superficial. The lesion should measure about 8 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer."
BUS_SINGLE_B2_002,BUS_SINGLE_B2_002.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single benign-appearing oval mass in the left breast at approximately 7 o'clock, 2 cm from the nipple, located at middle depth. The lesion should measure about 9 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern anechoic; posterior feature no posterior acoustic feature; associated feature no associated suspicious feature. Background breast tissue should show scattered fibroglandular tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer."
BUS_SINGLE_B2_002b,BUS_SINGLE_B2_002b.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single benign-appearing oval mass in the right breast at approximately 7 o'clock, 2 cm from the nipple, located at middle depth. The lesion should measure about 9 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern anechoic; posterior feature no posterior acoustic feature; associated feature no associated suspicious feature. Background breast tissue should show scattered fibroglandular tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer."
BUS_SINGLE_B2_003,BUS_SINGLE_B2_003.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single clustered microcysts-like lesion in the right breast at approximately 8 o'clock, 3 cm from the nipple, located at deep. The lesion should measure about 10 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern isoechoic; posterior feature mild posterior enhancement; associated feature simple benign appearance. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.Reduce the number of internal septations within the nodule, and make the septation lines vary in thickness."
BUS_SINGLE_B2_003b,BUS_SINGLE_B2_003b.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single clustered microcysts-like lesion in the left breast at approximately 8 o'clock, 3 cm from the nipple, located at deep. The lesion should measure about 10 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern isoechoic; posterior feature mild posterior enhancement; associated feature simple benign appearance. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.Reduce the number of internal septations within the nodule, and make the septation lines vary in thickness."
BUS_SINGLE_B2_004,BUS_SINGLE_B2_004.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single simple cyst in the left breast at approximately 9 o'clock, 4 cm from the nipple, located at superficial. The lesion should measure about 11 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show scattered fibroglandular tissue. Include a simple color Doppler inset with no internal vascularity. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.The nodule is located within the glandular tissue."
BUS_SINGLE_B2_004b,BUS_SINGLE_B2_004b.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single simple cyst in the right breast at approximately 9 o'clock, 4 cm from the nipple, located at superficial. The lesion should measure about 11 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show scattered fibroglandular tissue. Include a simple color Doppler inset with no internal vascularity. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer."
BUS_SINGLE_B2_005,BUS_SINGLE_B2_005.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single benign-appearing oval mass in the right breast at approximately 10 o'clock, 5 cm from the nipple, located at middle depth. The lesion should measure about 12 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern anechoic; posterior feature no posterior acoustic feature; associated feature no associated suspicious feature. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer."
BUS_SINGLE_B2_005b,BUS_SINGLE_B2_005b.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single benign-appearing oval mass in the left breast at approximately 10 o'clock, 5 cm from the nipple, located at middle depth. The lesion should measure about 12 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern anechoic; posterior feature no posterior acoustic feature; associated feature no associated suspicious feature. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer."
BUS_SINGLE_B2_006,BUS_SINGLE_B2_006.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single clustered microcysts-like lesion in the left breast at approximately 11 o'clock, 2 cm from the nipple, located at deep. The lesion should measure about 13 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern isoechoic; posterior feature mild posterior enhancement; associated feature simple benign appearance. Background breast tissue should show scattered fibroglandular tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.Reduce the number of internal septations within the nodule, and make the septation lines vary in thickness."
