synthetic_id,filename,target_birads,generation_prompt,sha256,bytes
BUS_SINGLE_B2_001,BUS_SINGLE_B2_001.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single simple cyst in the right breast at approximately 5 o'clock, 5 cm from the nipple, located at superficial. The lesion should measure about 8 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.",b010999039ae0580c3e28709b201181efc071f152c46ee926dadf693b82ed43b,194908
BUS_SINGLE_B2_001b,BUS_SINGLE_B2_001b.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single simple cyst in the left breast at approximately 5 o'clock, 5 cm from the nipple, located at superficial. The lesion should measure about 8 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.",8b38bfba258b8a1b16e93166ff35dc04b32cde643a79e986ef0e16f284b46b71,175408
BUS_SINGLE_B2_002,BUS_SINGLE_B2_002.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single benign-appearing oval mass in the left breast at approximately 7 o'clock, 2 cm from the nipple, located at middle depth. The lesion should measure about 9 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern anechoic; posterior feature no posterior acoustic feature; associated feature no associated suspicious feature. Background breast tissue should show scattered fibroglandular tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.",ef4d95ff68de0d453c85095b5dd3aa8f7a48f14fb358d065fdffeee10eed68fd,173336
BUS_SINGLE_B2_002b,BUS_SINGLE_B2_002b.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single benign-appearing oval mass in the right breast at approximately 7 o'clock, 2 cm from the nipple, located at middle depth. The lesion should measure about 9 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern anechoic; posterior feature no posterior acoustic feature; associated feature no associated suspicious feature. Background breast tissue should show scattered fibroglandular tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.",da914a3fc61eb112060dc85f05e27ab80ec70a865b290791ec2536f89fd75d6e,144758
BUS_SINGLE_B2_003,BUS_SINGLE_B2_003.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single clustered microcysts-like lesion in the right breast at approximately 8 o'clock, 3 cm from the nipple, located at deep. The lesion should measure about 10 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern isoechoic; posterior feature mild posterior enhancement; associated feature simple benign appearance. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.Reduce the number of internal septations within the nodule, and make the septation lines vary in thickness.",0b03e1f3d6697346285644c1c872b587f921c1bbe47fb631f609d25e560f0b5e,150786
BUS_SINGLE_B2_003b,BUS_SINGLE_B2_003b.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single clustered microcysts-like lesion in the left breast at approximately 8 o'clock, 3 cm from the nipple, located at deep. The lesion should measure about 10 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern isoechoic; posterior feature mild posterior enhancement; associated feature simple benign appearance. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.Reduce the number of internal septations within the nodule, and make the septation lines vary in thickness.",7bf512d593d3a9b64ef3cded9a2560e26c62f40427b2aaa52e6a636609654a6b,482579
BUS_SINGLE_B2_004,BUS_SINGLE_B2_004.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single simple cyst in the left breast at approximately 9 o'clock, 4 cm from the nipple, located at superficial. The lesion should measure about 11 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show scattered fibroglandular tissue. Include a simple color Doppler inset with no internal vascularity. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.The nodule is located within the glandular tissue.",85cf1aeb989b10fa538ab03904c5835da6d7d164925344310fb6f91bf0cfb8c0,186392
BUS_SINGLE_B2_004b,BUS_SINGLE_B2_004b.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single simple cyst in the right breast at approximately 9 o'clock, 4 cm from the nipple, located at superficial. The lesion should measure about 11 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show scattered fibroglandular tissue. Include a simple color Doppler inset with no internal vascularity. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.",9881f68b1e1f1d854171a0152ee2e90ce10de19028d7ac8e941d262ca965f3e9,276874
BUS_SINGLE_B2_005,BUS_SINGLE_B2_005.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single benign-appearing oval mass in the right breast at approximately 10 o'clock, 5 cm from the nipple, located at middle depth. The lesion should measure about 12 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern anechoic; posterior feature no posterior acoustic feature; associated feature no associated suspicious feature. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.",85661d924597c3a716c9769f3c6d93c766d11b6a236bda6c38222c6e15c546a0,155086
BUS_SINGLE_B2_005b,BUS_SINGLE_B2_005b.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single benign-appearing oval mass in the left breast at approximately 10 o'clock, 5 cm from the nipple, located at middle depth. The lesion should measure about 12 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern anechoic; posterior feature no posterior acoustic feature; associated feature no associated suspicious feature. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.",9ff2688c6ec200226d492497aa08127b7e009c2776af249aac00cc926ac169e4,266882
BUS_SINGLE_B2_006,BUS_SINGLE_B2_006.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single clustered microcysts-like lesion in the left breast at approximately 11 o'clock, 2 cm from the nipple, located at deep. The lesion should measure about 13 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern isoechoic; posterior feature mild posterior enhancement; associated feature simple benign appearance. Background breast tissue should show scattered fibroglandular tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.Reduce the number of internal septations within the nodule, and make the septation lines vary in thickness.",61e342841d9976271f1c460a1a68afa54ec86dc4b0d6a46c7ecdfffc6b519706,198798
BUS_SINGLE_B2_006b,BUS_SINGLE_B2_006b.jpg,2,"Generate a single-panel breast ultrasound-style image in transverse view. Show a single clustered microcysts-like lesion in the right breast at approximately 11 o'clock, 2 cm from the nipple, located at deep. The lesion should measure about 13 mm. features: shape round; orientation parallel; margin smooth circumscribed; echo pattern isoechoic; posterior feature mild posterior enhancement; associated feature simple benign appearance. Background breast tissue should show scattered fibroglandular tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.Reduce the number of internal septations within the nodule, and make the septation lines vary in thickness.",38d724059c16768d3f1bd79603f0e16c2a020df81f8c8edb43fd758d67e68039,162080
BUS_SINGLE_B2_007,BUS_SINGLE_B2_007.jpg,2,"Generate a single-panel breast ultrasound-style image in longitudinal view. Show a single simple cyst in the right breast at approximately 1 o'clock, 3 cm from the nipple, located at superficial. The lesion should measure about 6 mm. features: shape oval; orientation parallel; margin circumscribed; echo pattern mildly hypoechoic; posterior feature posterior enhancement; associated feature benign-appearing surrounding tissue. Background breast tissue should show mildly heterogeneous background tissue. If color Doppler is included, keep the vascularity pattern simple and generic. Keep the background tissue simple and generic.  Generate only the ultrasound image itself, without measurement lines, selection boxes, or other annotations.Pay attention to the fat layer and glandular layer.The nodule should not be overly oval in shape.",dfc7a2df4b573bd3c11b9f352ebcdb408616b91a60fc66dd0e12c9edba4c2add,222922
